Year,Month,Day,Date,PPT. ,Av temp,Tmax,Tmin
2020,1,1,01/01/2020,0,4.4,7,1.8
2020,1,2,02/01/2020,0.8,6.55,10.9,2.2
2020,1,3,03/01/2020,0,5.6,7.7,3.5
2020,1,4,04/01/2020,0,6.85,9.9,3.8
2020,1,5,05/01/2020,0,8.3,10,6.6
2020,1,6,06/01/2020,0,8.45,9.4,7.5
2020,1,7,07/01/2020,0,8.9,13.7,4.1
2020,1,8,08/01/2020,14,7.75,8.5,7
2020,1,9,09/01/2020,1.4,4.2,5.5,2.9
2020,1,10,10/01/2020,0,5.55,11.1,0
2020,1,11,11/01/2020,0.8,6.7,12.8,0.6
2020,1,12,12/01/2020,0,6.3,8.6,4
2020,1,13,13/01/2020,5,4.8,7,2.6
2020,1,14,14/01/2020,6.4,4.25,5.8,2.7
2020,1,15,15/01/2020,0,5.45,8,2.9
2020,1,16,16/01/2020,2.4,6.95,9.9,4
2020,1,17,17/01/2020,0.6,5.1,5.7,4.5
2020,1,18,18/01/2020,0,4.8,7.4,2.2
2020,1,19,19/01/2020,0,3.9,8.3,-0.5
2020,1,20,20/01/2020,0,6.1,11.4,0.8
2020,1,21,21/01/2020,0,6.25,10.9,1.6
2020,1,22,22/01/2020,0.2,8.5,14,3
2020,1,23,23/01/2020,0,6.15,9.9,2.4
2020,1,24,24/01/2020,0,7.05,11.2,2.9
2020,1,25,25/01/2020,0,6.1,7.9,4.3
2020,1,26,26/01/2020,1.2,6.5,8,5
2020,1,27,27/01/2020,0,4.85,7.3,2.4
2020,1,28,28/01/2020,0,4.1,6.4,1.8
2020,1,29,29/01/2020,0,6.05,9.3,2.8
2020,1,30,30/01/2020,0.2,7.65,11.3,4
2020,1,31,31/01/2020,0,8.9,11.7,6.1
2020,2,1,01/02/2020,0.4,8.25,9.1,7.4
2020,2,2,02/02/2020,0.4,6.45,9.2,3.7
2020,2,3,03/02/2020,0.4,6.15,8,4.3
2020,2,4,04/02/2020,0,6.65,10.6,2.7
2020,2,5,05/02/2020,0,3.2,7.1,-0.7
2020,2,6,06/02/2020,0.2,3.75,8.8,-1.3
2020,2,7,07/02/2020,0,4.5,8.4,0.6
2020,2,8,08/02/2020,14.6,5.5,10.3,0.7
2020,2,9,09/02/2020,6.2,7.9,11.2,4.6
2020,2,10,10/02/2020,2.2,4.6,6.3,2.9
2020,2,11,11/02/2020,0.4,3.7,5.4,2
2020,2,12,12/02/2020,5.6,3.75,6.5,1
2020,2,13,13/02/2020,2,2.55,5,0.1
2020,2,14,14/02/2020,0.2,5.6,9.4,1.8
2020,2,15,15/02/2020,22,7.3,11.3,3.3
2020,2,16,16/02/2020,2.2,6.8,8.3,5.3
2020,2,17,17/02/2020,0.4,6.8,9.6,4
2020,2,18,18/02/2020,0.8,5.45,7.8,3.1
2020,2,19,19/02/2020,0,6.35,10,2.7
2020,2,20,20/02/2020,1.2,6.65,9.6,3.7
2020,2,21,21/02/2020,5.2,6.4,10,2.8
2020,2,22,22/02/2020,5.2,6.45,7.5,5.4
2020,2,23,23/02/2020,1.8,4.95,7.3,2.6
2020,2,24,24/02/2020,10.2,4.5,8.8,0.2
2020,2,25,25/02/2020,0,3.5,6.7,0.3
2020,2,26,26/02/2020,0,3.85,8.1,-0.4
2020,2,27,27/02/2020,0,3.75,7.4,0.1
2020,2,28,28/02/2020,2.4,5.65,9.5,1.8
2020,2,29,29/02/2020,3.2,4.55,6.9,2.2
2020,3,1,01/03/2020,0,4.45,7.4,1.5
2020,3,2,02/03/2020,0,4,8.1,-0.1
2020,3,3,03/03/2020,0,5.35,11,-0.3
2020,3,4,04/03/2020,0,3.75,7.9,-0.4
2020,3,5,05/03/2020,0,3.4,9.6,-2.8
2020,3,6,06/03/2020,0,3.1,9.2,-3
2020,3,7,07/03/2020,2.4,6.1,12.4,-0.2
2020,3,8,08/03/2020,0,8.65,10.4,6.9
2020,3,9,09/03/2020,2.2,7.3,11,3.6
2020,3,10,10/03/2020,0.2,8.55,12.6,4.5
2020,3,11,11/03/2020,6.2,0,0,6.6
2020,3,12,12/03/2020,1.2,0,5.4,0
2020,3,13,13/03/2020,1.4,4.35,7.3,1.4
2020,3,14,14/03/2020,0.6,6.7,10.1,3.3
2020,3,15,15/03/2020,0.2,7.55,10,5.1
2020,3,16,16/03/2020,0,5.4,10,0.8
2020,3,17,17/03/2020,0.2,9.3,13.2,5.4
2020,3,18,18/03/2020,0,7.25,8.4,6.1
2020,3,19,19/03/2020,0.2,6.6,11.8,1.4
2020,3,20,20/03/2020,0,4.05,10,-1.9
2020,3,21,21/03/2020,0,4.75,8,1.5
2020,3,22,22/03/2020,0,6.75,10.2,3.3
2020,3,23,23/03/2020,0,5.65,11.1,0.2
2020,3,24,24/03/2020,0,8.45,14.9,2
2020,3,25,25/03/2020,0,11.05,16.6,5.5
2020,3,26,26/03/2020,0,8.9,15.6,2.2
2020,3,27,27/03/2020,0,6.25,12.3,0.2
2020,3,28,28/03/2020,1.2,7,9.6,4.4
2020,3,29,29/03/2020,0.2,4.2,6.9,1.5
2020,3,30,30/03/2020,4.4,7.35,11.7,3
2020,3,31,31/03/2020,0,6.75,8.9,4.6
2020,4,1,01/04/2020,0,7.85,10.7,5
2020,4,2,02/04/2020,0,9.3,12.8,5.8
2020,4,3,03/04/2020,0.2,6.2,10.7,1.7
2020,4,4,04/04/2020,0,8.9,11.9,5.9
2020,4,5,05/04/2020,0,11.25,18.1,4.4
2020,4,6,06/04/2020,0,11.95,14.1,9.8
2020,4,7,07/04/2020,0,10.45,16.9,4
2020,4,8,08/04/2020,0,11.2,18.2,4.2
2020,4,9,09/04/2020,0,8.6,10.7,6.5
2020,4,10,10/04/2020,0.6,11.6,17.8,5.4
2020,4,11,11/04/2020,0,14.2,20.5,7.9
2020,4,12,12/04/2020,0,10.9,14.2,7.6
2020,4,13,13/04/2020,0,6.05,7.8,4.3
2020,4,14,14/04/2020,0,6.85,16,-2.3
2020,4,15,15/04/2020,0,11.4,21.2,1.6
2020,4,16,16/04/2020,0,8.95,13.7,4.2
2020,4,17,17/04/2020,0,8.6,11.1,6.1
2020,4,18,18/04/2020,0,8.4,12,4.8
2020,4,19,19/04/2020,0,7.65,13.7,1.6
2020,4,20,20/04/2020,0,7.9,12.9,2.9
2020,4,21,21/04/2020,0,8.95,13.7,4.2
2020,4,22,22/04/2020,0,9.9,15.7,4.1
2020,4,23,23/04/2020,0,11.1,16.6,5.6
2020,4,24,24/04/2020,0,9.15,17.5,0.8
2020,4,25,25/04/2020,0,11.05,16.9,5.2
2020,4,26,26/04/2020,0.8,11.8,17.7,5.9
2020,4,27,27/04/2020,0,9.3,15,3.6
2020,4,28,28/04/2020,0,6.25,10.9,1.6
2020,4,29,29/04/2020,1.8,7,9.1,4.9
2020,4,30,30/04/2020,0.4,9.25,12.8,5.7
2020,5,1,01/05/2020,6.4,10.1,15.6,4.6
2020,5,2,02/05/2020,0.8,10.65,14.4,6.9
2020,5,3,03/05/2020,3.6,10.15,14.2,6.1
2020,5,4,04/05/2020,0,10.45,13.5,7.4
2020,5,5,05/05/2020,0,7.35,13,1.7
2020,5,6,06/05/2020,0,7.7,16,-0.6
2020,5,7,07/05/2020,0,11.95,20.7,3.2
2020,5,8,08/05/2020,0,14.55,20.3,8.8
2020,5,9,09/05/2020,1.8,14.1,20.4,7.8
2020,5,10,10/05/2020,0.8,7.3,8.6,6
2020,5,11,11/05/2020,0.2,6.65,10.7,2.6
2020,5,12,12/05/2020,0.8,8.9,14.7,3.1
2020,5,13,13/05/2020,0,5.85,11.5,0.2
2020,5,14,14/05/2020,0,9.05,16.5,1.6
2020,5,15,15/05/2020,0,11.2,16.1,6.3
2020,5,16,16/05/2020,0,11.4,16.1,6.7
2020,5,17,17/05/2020,0.8,12.55,15.7,9.4
2020,5,18,18/05/2020,0.4,13.55,15.9,11.2
2020,5,19,19/05/2020,0,15.25,19,11.5
2020,5,20,20/05/2020,0,17.55,24.9,10.2
2020,5,21,21/05/2020,1.8,15.3,22,8.6
2020,5,22,22/05/2020,0.6,14.6,16.7,12.5
2020,5,23,23/05/2020,0,12.4,15.3,9.5
2020,5,24,24/05/2020,0,13.7,17.4,10
2020,5,25,25/05/2020,0,14.4,21.4,7.4
2020,5,26,26/05/2020,0,16.95,22.5,11.4
2020,5,27,27/05/2020,0,12.45,18.6,6.3
2020,5,28,28/05/2020,0,14.85,23.7,6
2020,5,29,29/05/2020,0,17.3,24,10.6
2020,5,30,30/05/2020,0,13.7,19.3,8.1
2020,5,31,31/05/2020,0,14.8,21.4,8.2
2020,6,1,01/06/2020,0,13.8,22,5.6
2020,6,2,02/06/2020,7.6,14.9,23.6,6.2
2020,6,3,03/06/2020,1.8,10.55,11.9,9.2
2020,6,4,04/06/2020,5.4,10.7,14.9,6.5
2020,6,5,05/06/2020,5.2,10.1,14.6,5.6
2020,6,6,06/06/2020,4,9.65,13.5,5.8
2020,6,7,07/06/2020,0.4,9.55,11.4,7.7
2020,6,8,08/06/2020,0,9.9,14.2,5.6
2020,6,9,09/06/2020,4,10.1,16.1,4.1
2020,6,10,10/06/2020,1.4,11.45,14,8.9
2020,6,11,11/06/2020,33.8,11.2,12.9,9.5
2020,6,12,12/06/2020,3.4,11.55,13.5,9.6
2020,6,13,13/06/2020,0.4,13.75,16.9,10.6
2020,6,14,14/06/2020,0,15.5,19.8,11.2
2020,6,15,15/06/2020,0,16.4,20.7,12.1
2020,6,16,16/06/2020,0.2,15.7,18.8,12.6
2020,6,17,17/06/2020,0.2,16.1,20.5,11.7
2020,6,18,18/06/2020,2.4,13.55,16.1,11
2020,6,19,19/06/2020,3.6,15.55,19.1,12
2020,6,20,20/06/2020,1.8,16.15,20.2,12.1
2020,6,21,21/06/2020,0,15.7,18.6,12.8
2020,6,22,22/06/2020,0,15.15,20.2,10.1
2020,6,23,23/06/2020,0,19.65,23.8,15.5
2020,6,24,24/06/2020,0,21.25,27.1,15.4
2020,6,25,25/06/2020,0,19.9,26.7,13.1
2020,6,26,26/06/2020,2.8,18.7,26.4,11
2020,6,27,27/06/2020,4,16.2,19.3,13.1
2020,6,28,28/06/2020,0.2,12.95,15.8,10.1
2020,6,29,29/06/2020,0,14.7,17.9,11.5
